list,item_no,sub_no,function,element1,element2,element3,element4,element5,element6,element7,element8,element9,element10,element11,element12
4,1,1,NAD,NA,ME,FI,MO,FU,NO,MI,LA,GU,FA,PU,BA
4,2,2,NAD,MI,PU,ME,MO,FU,SU,FI,LA,FA,NA,GU,BA
4,3,3,NAD,BO,FA,SU,ME,FU,BA,NA,LA,GU,MO,NO,MI
4,4,4,NAD,BA,BO,MO,ME,FU,NO,SU,LA,NA,MI,FI,PU
4,5,5,NAD,NA,BO,FA,PU,FU,MO,BA,LA,MI,NO,GU,SU
4,6,6,NAD,SU,ME,MI,FI,FU,BA,NO,LA,NA,PU,FA,BO
4,7,7,NAD,NO,BO,GU,FA,FU,MI,PU,LA,MO,BA,FI,SU
4,8,8,NAD,FI,GU,SU,NA,FU,BA,FA,LA,BO,MO,ME,MI
4,9,9,NAD,SU,BO,NO,FA,FU,MI,PU,LA,GU,FI,MO,ME
4,10,10,NAD,MO,BA,MI,NA,FU,ME,NO,LA,PU,FI,BO,GU
4,11,11,NAD,ME,FA,GU,NA,FU,BO,PU,LA,NO,SU,FI,BA
4,12,12,NAD,FI,BO,MO,PU,FU,GU,ME,LA,FA,NA,SU,NO
4,13,1,violation,NO,FA,BO,GU,FU,NA,FI,ME,SU,BA,PU,MI
4,14,2,violation,BA,MO,BO,GU,FU,FI,MI,ME,FA,SU,NA,PU
4,15,3,violation,NO,BA,MI,BO,FU,FA,ME,MO,GU,PU,FI,NA
4,16,4,violation,BO,FI,MO,FA,FU,MI,SU,ME,PU,NO,GU,BA
4,17,5,violation,NO,MI,BO,ME,FU,NA,FI,MO,SU,PU,FA,GU
4,18,6,violation,BA,MO,GU,SU,FU,MI,PU,ME,FA,NA,BO,NO
4,19,7,violation,SU,GU,MI,MO,FU,PU,FA,NO,BA,NA,FI,BO
4,20,8,violation,NO,ME,PU,FI,FU,BO,SU,FA,NA,MO,MI,BA
4,21,9,violation,MI,BA,PU,NO,FU,SU,ME,MO,GU,FI,NA,BO
4,22,10,violation,SU,MI,BO,NA,FU,BA,MO,ME,FA,FI,GU,NO
4,23,11,violation,FA,SU,BA,NO,FU,PU,ME,GU,MO,NA,BO,FI
4,24,12,violation,MO,GU,BA,FI,FU,SU,NO,NA,MI,PU,FA,ME