list,item_no,sub_no,function,element1,element2,element3,element4,element5,element6
2,1,1,NAD,BA,TA,SU,NA,PI,ME
2,2,2,NAD,MO,TA,BO,NO,PI,MI
2,3,3,NAD,MI,TA,BA,BO,PI,GU
2,4,4,NAD,FI,TA,MI,SU,PI,FA
2,5,5,NAD,PU,TA,BA,ME,PI,MO
2,6,6,NAD,BO,TA,MO,BA,PI,PU
2,7,7,NAD,PU,TA,SU,NA,PI,MI
2,8,8,NAD,FI,TA,BO,NA,PI,NO
2,9,9,NAD,NA,TA,GU,SU,PI,FI
2,10,10,NAD,FA,TA,FI,NO,PI,ME
2,11,11,NAD,FA,TA,PU,GU,PI,ME
2,12,12,NAD,GU,TA,MO,NO,PI,FA
2,13,1,violation,FA,TA,ME,MI,NA,SU
2,14,2,violation,GU,TA,NO,BA,MI,FA
2,15,3,violation,PU,TA,GU,FA,ME,BA
2,16,4,violation,GU,TA,FI,NO,PU,SU
2,17,5,violation,GU,TA,PU,BA,NO,FA
2,18,6,violation,GU,TA,BO,BA,MO,NA
2,19,7,violation,SU,TA,BO,PU,BA,NA
2,20,8,violation,ME,TA,FI,FA,MO,BO
2,21,9,violation,NO,TA,MO,BO,MI,SU
2,22,10,violation,FI,TA,MI,NO,BO,PU
2,23,11,violation,ME,TA,FI,MI,NA,MO
2,24,12,violation,MO,TA,SU,FI,NA,ME